2018-02-02 09:09:18 status unpacked php7.2-curl:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 upgrade php7.2-zip:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-configured php7.2-zip:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-zip:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed php7.2-zip:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed php7.2-zip:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-zip:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-zip:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 upgrade php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-configured php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status triggers-pending systemd:amd64 229-4ubuntu17
2018-02-02 09:09:18 status triggers-pending ureadahead:amd64 0.100.0-19
2018-02-02 09:09:18 status triggers-pending ureadahead:amd64 0.100.0-19
2018-02-02 09:09:18 status half-installed php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-fpm:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked php7.2-fpm:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 upgrade libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-configured libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status half-installed libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked libapache2-mod-php7.2:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:18 status unpacked libapache2-mod-php7.2:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 upgrade php7.2-cli:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-configured php7.2-cli:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status unpacked php7.2-cli:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-installed php7.2-cli:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-installed php7.2-cli:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status unpacked php7.2-cli:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status unpacked php7.2-cli:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 upgrade php7.2-common:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-configured php7.2-common:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status unpacked php7.2-common:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-installed php7.2-common:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:19 status half-installed php7.2-common:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status unpacked php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status unpacked php7.2-common:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 upgrade php7.2:all 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status half-configured php7.2:all 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status unpacked php7.2:all 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status half-installed php7.2:all 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status half-installed php7.2:all 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status unpacked php7.2:all 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 status unpacked php7.2:all 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:20 trigproc man-db:amd64 2.7.5-1 <none>
2018-02-02 09:09:20 status half-configured man-db:amd64 2.7.5-1
2018-02-02 09:09:20 status installed man-db:amd64 2.7.5-1
2018-02-02 09:09:20 trigproc gnome-menus:amd64 3.13.3-6ubuntu3.1 <none>
2018-02-02 09:09:20 status half-configured gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-02 09:09:20 status installed gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-02 09:09:20 trigproc desktop-file-utils:amd64 0.22+linuxmint1 <none>
2018-02-02 09:09:20 status half-configured desktop-file-utils:amd64 0.22+linuxmint1
2018-02-02 09:09:20 status installed desktop-file-utils:amd64 0.22+linuxmint1
2018-02-02 09:09:20 trigproc bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1 <none>
2018-02-02 09:09:20 status half-configured bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
